Target,Gloss
l'ours,bear
gêne,uncomfortable
gelée,jelly
skis,skis
semelles,soles
marché,market
bougie,candle
flamme,flame
cygne,swan
allumette,matches
l'allumette,the match
l'attache,attachment
l'arrête,stops
valise,suitcase
Pie,magpie
enlevée,removed
maïs,But
cuillères,spoons
couteaux,knives
fatigue,tired
envolée,soaring
l'arrêter,stop
casque,helmet
Pierre,Pierre
poussette,stroller
nu,naked
pêcher,to fish
clair,clear
pêché,peach
Cathy,Cathy
dauphin,dolphin
pêche,peach
arnica,arnica
arnica:,arnica:
enc,enc
chaudron,cauldron
pommade,ointment
télé:,TV:
meunier,miller
dors,sleep
Mulottin,Mulottin
qui:,who:
doudou:,Teddy:
minutes,minutes
matin,morning
billet,ticket
bécassine,snipe
marionnette,marionette
saigne,bleeding
sang,blood
vaches,cows
saigné,bled
être,be
portée,scope
Océ,Océ
parler,speak
Syl,Syl
offert,Free
Tho,Tho
Man,Man
thé,tea
pétales,petals
photos,Pictures
t'ai,t'ai
servi,served
bouée,buoy
cerf+volant,kite flying +
parasol,Beach umbrella
revenir,return
mi,mid
détacher,detach
allée,driveway
panda,panda
mois,month
vilain,ugly
rouge+à+lèvres,red lips + to +
agrafeuse,stapler
sage,wise
essayé,tried
parquet,parquet
église,church
s'asseoir,sit
galipette,somersault
temps,time
Velcro,Velcro
m'asseoir,sit
n'énerver,not excited
servir,to serve
broche,brooch
broches,pin
ensuite,then
rang,rank
verser,pay
gonfle,inflated
ski,ski
obligé,forced
ciseaux,scissors
peine,trouble
sonner,ring
rester,stay
bougies,candles
mieux,better
forte,strong
baignoire,bath
regardé,looked
poussé,driven
patins,skates
roulettes,castors
cassés,broken
dames,ladies
messieurs,gentlemen
réveille,wake up
marchande,Merchant
framboises,raspberries
pommes,apples
l,l
barrettes,strips
mandarines,tangerines
plusieurs,many
peser,weigh
euros,euros
rhume,cold
marionnettes,puppets
l'argent,money
nan,Nope
tien,yours
propres,own
partir,go
revient,come back
doit,must
travaillé,work
arrivée,arrival
Ana,Ana
poussière,dust
pareil,the same
d',of
commence,begin
bouger,move
sandales,sandals
m'essayer,try me
presque,almost
fermés,closed
faite,done
parties,parts
nettoyer,clean
l'aspirateur,vacuum
corde,rope
remue,shakes
préfère,prefer
appareil+photo,camera +
prête,ready
rend,makes
joues,play
prennes,prennes
couler,flow
remues,stirred
Léa,Lea
biberons,baby bottles
porte+monnaie,door currency +
coquillages,shells
fallait,needed
devant,in front of
argent,silver
vends,sell
d'argent,silver
Ma,My
Mami,Mami
aspirateur,vacuum
veulent,want
l'yyy,the yyy
pu,could
pièce,room
soulève,raises
tombées,fallen
midi,midday
glaçage,icing
joyeux,happy
d'anniversaire,birthday
bonne,good
fils,son
t'aider,help you
t'arrives,you arrive
t'aides,you support
colliers,necklaces
besoin,need
argents,monies
Cor,Horn
caméra,camera
rendre,return
euro,euro
jettent,throw
s'endormi,fell asleep
donnes,give
gommettes,stickers
regardait,looked
montré,shown
plutôt,rather
t'avais,you had
tondeuse,mower
juste,fair
cannes,cannes
craquer,crack
gentille,gentle
tires,tires
l'ascenseur,the elevator
ceux,those
glisser,slip
chiens,dogs
terminé,completed
glaces,ice
quille,keel
Mol,mol
Mae,Mae
miammiam,miammiam
mama,mama
parfait,perfect
namam@o,yum
bru:,bru:
dou@o,dou @ o
hoh,hoh
nah,nah
dédé,dédé
da@o,o da @
mrr@o,mrr @ o
brr,brr
toutou,doggie
ohoh,Oh oh
ouah,Wow
baa@o,baa
cocococo@o,cock_a_doodle_doo
feutre,felt
bourdon,bumblebee
cococo@o,quack 
coco,coconut
mh:,mh:
mmm@o,mmm @ o
be@o,baa
cr:@o,cr: @o
Coco,Coco
Dingo,Dingo
piou@o,tweet
fff@o,fff @ o
hah,hah
r:@o,grr
R:,grr
vru@o,vroom
a:,at:
po@o,@ po o
co@o,Co @ o
Tintin,Tintin
Chl,Chl
Mathias,Mathias
popo@o,popo @ o
ciao,ciao
dernier,latest
selle,saddle
dromadaire,camel
bisous,kisses
cousin,cousin
Chloé,Chloe
sabre,saber
gourde,gourd
canaille,blackguard
tabouret,stool
soupière,tureen
pépé,grandpa
aboie,barks
éloigner,remove
éloigné,distant
houh,houh
j'y,I
Margaux,Margaux
cocottes,casseroles
revoir,meet again
chariot,cart
voum@o,vroom
Barbie,Barbie
silence,silence
chouchous,scrunchies
donc,so
chasseur,hunter
peigne,comb
dentifrice,toothpaste
fifille,fifille
Caline,Caline
porte+manteaux,door coats +
hérisson,hedgehog
Emilie,Emilie
Chloée,Chloée
celles-là,those ones
hoquet,hiccough
nus,naked
qu'à,only
titine@f,titin @ f
vas_y,go ahead
idée,idea
poteau,post
mamans,moms
l'ombre,The shadow
reparti,go again
coller,paste
salut,Hi
pchi@o,tweet
ch@o,ch @ o
tchhh@o,tchhh @ o
colles,glues
grands,great
voila,here is
couverture,blanket
manchot,penguin
lever,raise
enlèves,take away
Daisy,Daisy
danser,dance
chasse,hunt
Bijou,Jewel
pou,louse
to,to
be,be
rigolé,laugh
endormi,sleeping
mère+grand,+ great mother
chaperon,chaperon
troisième,third
lionne,lioness
chameau,camel
hippopotamtam,hippopotamtam
castor,beaver
Simba,Simba
Zazou,Zazou
eux,them
souffler,blow
boulot,job
Hél,Hel
Raphael,Raphael
Maria,Maria
Victor,Victor
Estelle,Is she
Sidney,Sidney
Anais,Anais
Maéva,Maeva
Christelle,Christelle
Louis,Louis
Eléonor,Eleonor
Tiago,Tiago
Oméga,Omega
Maxime,Maxim
Hélène,Helena
quel,what
lequel,which
Dumbo,Dumbo
Po,Po
Teletubbies,Teletubbies
Dipsi,Dipsi
urgence,emergency
waouh@o,o wow @
gratter,to scratch
quitter,to leave
continuer,Continue
chauffé,heated
accroché,hooked
d'elle,it
laisser,let
galop,gallop
là-dessous,under there
qu'une,a
pareille,like
pris,taken
essuyer,wipe
assez,enough
c'es,these
mélanger,mix
messieur,MESSIEUR
pantin,puppet
triangle,triangle
balançoires,swings
té,you
papillons,butterflies
Lucie,Lucy
tam@o,o tom @
cocos,cocos
j'essaie,I try
s'amuser,enjoy
enfermé,shut in
tant_pis,never mind
popo,popo
l'ouvrir,open
ciseau,chisel
Nemo,Nemo
remets,commit
coup,stroke
secoues,shake
secoue,shaken
l'avoir,to see her
Martin,Martin
magie,magic
requin,shark
Bruce,Bruce
caillou,Pebble
lécher,lick
flèche,arrow
arrives,arrived
cheveu,hair
coeurs,hearts
suis,am
copines,girlfriends
genou,knee
Lapin,Rabbit
poli,polished
youh@o,youh @ o
yaouh@o,yaouh @ o
griffé,claw
thermomètre,thermometer
fff:@o,fff: @o
tension,voltage
sérum,serum
finit,ends
wi@o,whee
chauffer,heat
pss:@o,hiss
finis,finished
pipis,pees
préparer,to prepare
sss:@o,hiss
poivre,pepper
chiffon,cloth
marmotte,marmot
coquillage,shell
assieds,sit
Tubby,Tubby
Télétubbies,Teletubbies
cherché,sought
Teletubby,Teletubby
chuté,fall
baissé,fallen
guéri,recovered
trompé,deceived
